transaction_id,day_index,policy_name,policy_action,sent_to_analyst,analyst_reviewed,review_queue_overflow,expected_review_value
TXN_000000324,0,balanced_threshold,simulated_step_up_or_hold,1,1,0,213.0202
TXN_000000805,0,balanced_threshold,simulated_step_up_or_hold,1,1,0,91.8757
TXN_000000093,0,balanced_threshold,simulated_step_up_or_hold,1,1,0,193.6602
TXN_000000244,0,balanced_threshold,review_queue,1,1,0,1402.7911
TXN_000000553,0,balanced_threshold,review_queue,1,1,0,287.1027
TXN_000000838,0,balanced_threshold,review_queue,1,1,0,160.7997
TXN_000000887,0,balanced_threshold,review_queue,1,1,0,161.2567
TXN_000000077,0,balanced_threshold,review_queue,1,1,0,610.7347
TXN_000000171,0,balanced_threshold,review_queue,1,1,0,175.2646
TXN_000000133,0,balanced_threshold,review_queue,1,1,0,514.8262
TXN_000000753,0,balanced_threshold,review_queue,1,1,0,131.3482
TXN_000000090,0,balanced_threshold,review_queue,1,1,0,390.2839
TXN_000000137,0,balanced_threshold,review_queue,1,1,0,78.3745
TXN_000000166,0,balanced_threshold,review_queue,1,1,0,123.9299
TXN_000000047,0,balanced_threshold,review_queue,1,1,0,58.4723
TXN_000000231,0,balanced_threshold,review_queue,1,1,0,343.0672
TXN_000000707,0,balanced_threshold,monitor,0,0,0,585.1141
TXN_000000347,0,balanced_threshold,monitor,0,0,0,118.3375
TXN_000000901,0,balanced_threshold,monitor,0,0,0,145.8165
TXN_000000932,0,balanced_threshold,monitor,0,0,0,37.507
TXN_000000931,0,balanced_threshold,monitor,0,0,0,107.5999
TXN_000000365,0,balanced_threshold,monitor,0,0,0,130.0059
TXN_000000103,0,balanced_threshold,monitor,0,0,0,129.3534
TXN_000000336,0,balanced_threshold,monitor,0,0,0,65.7448
TXN_000000801,0,balanced_threshold,monitor,0,0,0,81.8912
TXN_000000168,0,balanced_threshold,monitor,0,0,0,96.9225
TXN_000000923,0,balanced_threshold,monitor,0,0,0,91.0008
TXN_000000522,0,balanced_threshold,monitor,0,0,0,141.6125
TXN_000000834,0,balanced_threshold,monitor,0,0,0,123.1592
TXN_000000188,0,balanced_threshold,monitor,0,0,0,17.6868
TXN_000000421,0,balanced_threshold,monitor,0,0,0,670.0005
TXN_000000392,0,balanced_threshold,monitor,0,0,0,39.3735
TXN_000000295,0,balanced_threshold,monitor,0,0,0,31.7823
TXN_000000423,0,balanced_threshold,monitor,0,0,0,17.2516
TXN_000000447,0,balanced_threshold,monitor,0,0,0,16.361
TXN_000000272,0,balanced_threshold,monitor,0,0,0,65.6216
TXN_000000765,0,balanced_threshold,monitor,0,0,0,97.1539
TXN_000000897,0,balanced_threshold,monitor,0,0,0,49.3569
TXN_000000624,0,balanced_threshold,monitor,0,0,0,133.1787
TXN_000000712,0,balanced_threshold,monitor,0,0,0,414.4788
TXN_000000606,0,balanced_threshold,monitor,0,0,0,110.1376
TXN_000000104,0,balanced_threshold,allow,0,0,0,23.5923
TXN_000000084,0,balanced_threshold,allow,0,0,0,15.9766
TXN_000000568,0,balanced_threshold,allow,0,0,0,96.2111
TXN_000000774,0,balanced_threshold,allow,0,0,0,37.7012
TXN_000000802,0,balanced_threshold,allow,0,0,0,8.0435
TXN_000000052,0,balanced_threshold,allow,0,0,0,78.5109
TXN_000000460,0,balanced_threshold,allow,0,0,0,47.9978
TXN_000000484,0,balanced_threshold,allow,0,0,0,9.6327
TXN_000000716,0,balanced_threshold,allow,0,0,0,10.3637
TXN_000000505,0,balanced_threshold,allow,0,0,0,11.6683
TXN_000000311,0,balanced_threshold,allow,0,0,0,16.8747
TXN_000000243,0,balanced_threshold,allow,0,0,0,393.3362
TXN_000000249,0,balanced_threshold,allow,0,0,0,34.3796
TXN_000000503,0,balanced_threshold,allow,0,0,0,0.6099
TXN_000000041,0,balanced_threshold,allow,0,0,0,205.5042
TXN_000000473,0,balanced_threshold,allow,0,0,0,3.3528
TXN_000000239,0,balanced_threshold,allow,0,0,0,45.0752
TXN_000000899,0,balanced_threshold,allow,0,0,0,49.427
TXN_000000604,0,balanced_threshold,allow,0,0,0,-0.8837
TXN_000000564,0,balanced_threshold,allow,0,0,0,13.6282
TXN_000000502,0,balanced_threshold,allow,0,0,0,10.276
TXN_000000681,0,balanced_threshold,allow,0,0,0,49.6971
TXN_000000693,0,balanced_threshold,allow,0,0,0,-2.4308
TXN_000000538,0,balanced_threshold,allow,0,0,0,24.209
TXN_000000425,0,balanced_threshold,allow,0,0,0,5.2237
TXN_000000159,0,balanced_threshold,allow,0,0,0,2.0557
TXN_000000049,0,balanced_threshold,allow,0,0,0,59.2641
TXN_000000261,0,balanced_threshold,allow,0,0,0,16.5971
TXN_000000029,0,balanced_threshold,allow,0,0,0,23.7212
TXN_000000145,0,balanced_threshold,allow,0,0,0,13.9743
TXN_000000686,0,balanced_threshold,allow,0,0,0,9.091
TXN_000000921,0,balanced_threshold,allow,0,0,0,53.2467
TXN_000000927,0,balanced_threshold,allow,0,0,0,13.4439
TXN_000000285,0,balanced_threshold,allow,0,0,0,47.3653
TXN_000000799,0,balanced_threshold,allow,0,0,0,23.3053
